"group","occasions_drawn","n_occasions","n_items","cor_ICC_min","cor_ICC_mean","cor_ICC_max","min_diff_ICC_min","mean_diff_ICC_mean","max_diff_ICC_max","RMSE_ICC_min","RMSE_ICC_mean","RMSE_ICC_max","sd_ICC_min","sd_ICC_mean","sd_ICC_max","rel_min","rel_mean","rel_max","negICC_min","negICC_mean","negICC_max","estimationProbNeg_min","estimationProbNeg_mean","estimationProbNeg_max","estimationProbPos_min","estimationProbPos_mean","estimationProbPos_max","N_rel_min","N_rel_mean","N_rel_max","N_valid_ICC.z_min","N_valid_ICC.z_mean","N_valid_ICC.z_max"
"low NED","by order",70,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.07,0.07,0.548,0.548,0.548,0,0,0,0,0,0,0,0,0,37,37,37,37,37,37
"medium NED","random",14,5,-0.319,0.104,0.597,-0.461,-0.075,0.693,0.108,0.154,0.203,0.078,0.133,0.2,0,0.157,0.711,0,3.136,9,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","random",14,10,-0.38,0.161,0.601,-0.344,-0.03,0.64,0.08,0.119,0.176,0.069,0.116,0.18,0,0.276,0.713,0,0.331,3,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","random",14,15,-0.285,0.251,0.667,-0.3,-0.014,0.665,0.058,0.097,0.16,0.055,0.099,0.166,0,0.196,0.791,0,0.039,1,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","random",20,5,-0.3,0.151,0.619,-0.403,-0.071,0.634,0.092,0.135,0.174,0.079,0.115,0.169,0,0.203,0.622,0,1.824,6,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","random",20,10,-0.276,0.225,0.713,-0.322,-0.024,0.586,0.066,0.102,0.148,0.066,0.101,0.157,0,0.322,0.703,0,0.121,2,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","random",20,15,-0.233,0.326,0.762,-0.284,-0.01,0.495,0.05,0.08,0.125,0.047,0.083,0.125,0,0.217,0.669,0,0.005,1,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","random",30,5,-0.261,0.218,0.64,-0.358,-0.068,0.594,0.08,0.115,0.156,0.063,0.095,0.138,0,0.217,0.654,0,0.788,4,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","random",30,10,-0.207,0.321,0.74,-0.295,-0.021,0.507,0.053,0.082,0.128,0.057,0.084,0.125,0,0.346,0.688,0,0.011,1,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","random",30,15,-0.17,0.445,0.783,-0.265,-0.005,0.397,0.036,0.06,0.09,0.041,0.067,0.095,0,0.189,0.604,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
