"group","occasions_drawn","n_occasions","n_items","cor_ICC.z_min","cor_ICC.z_mean","cor_ICC.z_max","min_diff_ICC.z_min","mean_diff_ICC.z_mean","max_diff_ICC.z_max","RMSE_ICC.z_min","RMSE_ICC.z_mean","RMSE_ICC.z_max","sd_ICC.z_min","sd_ICC.z_mean","sd_ICC.z_max","rel_min","rel_mean","rel_max","negICC_min","negICC_mean","negICC_max","estimationProbNeg_min","estimationProbNeg_mean","estimationProbNeg_max","estimationProbPos_min","estimationProbPos_mean","estimationProbPos_max","N_rel_min","N_rel_mean","N_rel_max","N_valid_ICC.z_min","N_valid_ICC.z_mean","N_valid_ICC.z_max"
"medium NED","by order",20,10,0.095,0.095,0.095,-0.773,-0.23,0.314,0.336,0.336,0.336,0.245,0.245,0.245,0.469,0.469,0.469,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",20,15,0.035,0.035,0.035,-0.557,-0.042,0.346,0.206,0.206,0.206,0.195,0.195,0.195,0.191,0.191,0.191,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",30,5,0.066,0.066,0.066,-0.919,-0.526,-0.232,0.556,0.556,0.556,0.174,0.174,0.174,0.242,0.242,0.242,1,1,1,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",30,10,0.192,0.192,0.192,-0.649,-0.2,0.183,0.291,0.291,0.291,0.217,0.217,0.217,0.566,0.566,0.566,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",30,15,0.216,0.216,0.216,-0.454,0,0.25,0.164,0.164,0.164,0.166,0.166,0.166,0.287,0.287,0.287,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",40,5,0.111,0.111,0.111,-0.902,-0.527,-0.293,0.548,0.548,0.548,0.142,0.142,0.142,0.157,0.157,0.157,1,1,1,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",40,10,0.278,0.278,0.278,-0.553,-0.197,0.126,0.248,0.248,0.248,0.157,0.157,0.157,0.392,0.392,0.392,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",40,15,0.397,0.397,0.397,-0.357,0.005,0.214,0.109,0.109,0.109,0.117,0.117,0.117,0,0,0,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",50,5,0.433,0.433,0.433,-0.809,-0.505,-0.301,0.519,0.519,0.519,0.138,0.138,0.138,0.292,0.292,0.292,1,1,1,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",50,10,0.467,0.467,0.467,-0.63,-0.192,0.082,0.235,0.235,0.235,0.156,0.156,0.156,0.514,0.514,0.514,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",50,15,0.581,0.581,0.581,-0.445,0.007,0.14,0.103,0.103,0.103,0.128,0.128,0.128,0.298,0.298,0.298,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",60,5,0.447,0.447,0.447,-0.753,-0.511,-0.321,0.521,0.521,0.521,0.114,0.114,0.114,0.15,0.15,0.15,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",60,10,0.554,0.554,0.554,-0.466,-0.193,0.07,0.219,0.219,0.219,0.125,0.125,0.125,0.374,0.374,0.374,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",60,15,0.756,0.756,0.756,-0.265,0.003,0.146,0.061,0.061,0.061,0.095,0.095,0.095,0,0,0,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",70,5,0.438,0.438,0.438,-0.7,-0.515,-0.357,0.523,0.523,0.523,0.099,0.099,0.099,0.031,0.031,0.031,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",70,10,0.658,0.658,0.658,-0.34,-0.195,0.057,0.21,0.21,0.21,0.102,0.102,0.102,0.193,0.193,0.193,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",70,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.072,0.072,0.072,0,0,0,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
